date,value
19-05-2019,$1.23
12-05-2019,$1.23
05-05-2019,$1.01
28-04-2019,$0.94
21-04-2019,$1.03
14-04-2019,$1.13
07-04-2019,$1.18
31-03-2019,$1.19
24-03-2019,$1.06
17-03-2019,$0.64
10-03-2019,$0.55
03-03-2019,$0.52
24-02-2019,$0.52
17-02-2019,$0.52
10-02-2019,$0.52
03-02-2019,$0.47
27-01-2019,$0.46
20-01-2019,$0.51
13-01-2019,$0.56
06-01-2019,$0.56
30-12-2018,$0.48
23-12-2018,$0.46
16-12-2018,$0.47
09-12-2018,$0.48
02-12-2018,$0.55
25-11-2018,$0.65
23-09-2018,$0.79
16-09-2018,$0.82
09-09-2018,$0.90
02-09-2018,$0.94
26-08-2018,$0.88
19-08-2018,$1.15
12-08-2018,$1.18
05-08-2018,$1.23
29-07-2018,$1.03
22-07-2018,$0.86
15-07-2018,$0.87
08-07-2018,$0.87
01-07-2018,$0.89
24-06-2018,$0.89
17-06-2018,$0.86
10-06-2018,$0.86
03-06-2018,$0.86
27-05-2018,$0.86
20-05-2018,$0.83
13-05-2018,$0.83
06-05-2018,$0.85
29-04-2018,$0.85
22-04-2018,$0.85
15-04-2018,$0.85
08-04-2018,$0.47
01-04-2018,$0.86
25-03-2018,$0.86
18-03-2018,$0.86
11-03-2018,$0.85
25-02-2018,$0.82
18-02-2018,$0.85
11-02-2018,$0.82
04-02-2018,$0.82
28-01-2018,$0.73
10-09-2017,$1.87
20-08-2017,$1.69
13-08-2017,$1.71
06-08-2017,$1.60
30-07-2017,$1.39
23-07-2017,$1.09
16-07-2017,$1.03
09-07-2017,$1.03
02-07-2017,$1.04
25-06-2017,$1.04
18-06-2017,$1.07
11-06-2017,$1.05
04-06-2017,$1.10
28-05-2017,$1.07
21-05-2017,$1.14
14-05-2017,$1.16
07-05-2017,$1.16
30-04-2017,$1.17
23-04-2017,$1.17
16-04-2017,$1.20
09-04-2017,$1.14
02-04-2017,$1.11
26-03-2017,$1.06
19-03-2017,$1.10
12-03-2017,$1.10
05-03-2017,$1.11
26-02-2017,$1.11
28-08-2016,$1.16
21-08-2016,$1.18
14-08-2016,$1.18
07-08-2016,$1.18
31-07-2016,$1.20
24-07-2016,$1.21
17-07-2016,$1.28
10-07-2016,$1.28
03-07-2016,$1.16
26-06-2016,$1.16
19-06-2016,$0.95
