date,value
19-05-2019,$0.24
12-05-2019,$0.30
05-05-2019,$0.30
28-04-2019,$0.30
21-04-2019,$0.30
14-04-2019,$0.29
07-04-2019,$0.30
31-03-2019,$0.30
24-03-2019,$0.30
17-03-2019,$0.30
10-03-2019,$0.30
03-03-2019,$0.30
24-02-2019,$0.30
17-02-2019,$0.30
10-02-2019,$0.30
03-02-2019,$0.30
27-01-2019,$0.30
20-01-2019,$0.32
13-01-2019,$0.29
06-01-2019,$0.29
30-12-2018,$0.29
23-12-2018,$0.29
16-12-2018,$0.29
09-12-2018,$0.29
02-12-2018,$0.29
25-11-2018,$0.30
18-11-2018,$0.30
11-11-2018,$0.30
04-11-2018,$0.31
28-10-2018,$0.30
21-10-2018,$0.30
14-10-2018,$0.30
07-10-2018,$0.30
30-09-2018,$0.30
23-09-2018,$0.30
16-09-2018,$0.30
09-09-2018,$0.30
02-09-2018,$0.30
26-08-2018,$0.30
19-08-2018,$0.30
12-08-2018,$0.30
05-08-2018,$0.30
29-07-2018,$0.30
22-07-2018,$0.30
15-07-2018,$0.30
08-07-2018,$0.30
01-07-2018,$0.30
24-06-2018,$0.29
17-06-2018,$0.29
10-06-2018,$0.29
03-06-2018,$0.28
27-05-2018,$0.29
20-05-2018,$0.29
13-05-2018,$0.29
06-05-2018,$0.29
29-04-2018,$0.29
22-04-2018,$0.29
15-04-2018,$0.29
08-04-2018,$0.29
01-04-2018,$0.29
25-03-2018,$0.29
18-03-2018,$0.29
11-03-2018,$0.29
25-02-2018,$0.31
18-02-2018,$0.31
11-02-2018,$0.31
04-02-2018,$0.32
28-01-2018,$0.31
21-01-2018,$0.31
14-01-2018,$0.31
07-01-2018,$0.32
31-12-2017,$0.31
24-12-2017,$0.31
17-12-2017,$0.31
10-12-2017,$0.31
03-12-2017,$0.31
26-11-2017,$0.31
19-11-2017,$0.31
12-11-2017,$0.31
05-11-2017,$0.31
29-10-2017,$0.31
22-10-2017,$0.31
15-10-2017,$0.31
08-10-2017,$0.31
01-10-2017,$0.31
24-09-2017,$0.28
17-09-2017,$0.27
10-09-2017,$0.27
03-09-2017,$0.27
27-08-2017,$0.27
20-08-2017,$0.28
13-08-2017,$0.28
06-08-2017,$0.27
30-07-2017,$0.27
23-07-2017,$0.27
16-07-2017,$0.27
09-07-2017,$0.27
02-07-2017,$0.26
25-06-2017,$0.26
18-06-2017,$0.26
11-06-2017,$0.26
04-06-2017,$0.27
28-05-2017,$0.29
21-05-2017,$0.29
14-05-2017,$0.29
07-05-2017,$0.29
23-04-2017,$0.29
16-04-2017,$0.29
09-04-2017,$0.29
02-04-2017,$0.29
26-03-2017,$0.29
19-03-2017,$0.29
12-03-2017,$0.99
05-03-2017,$0.29
26-02-2017,$0.29
19-02-2017,$0.29
12-02-2017,$0.29
05-02-2017,$0.29
29-01-2017,$0.29
22-01-2017,$0.29
15-01-2017,$0.29
08-01-2017,$0.29
01-01-2017,$0.29
25-12-2016,$0.29
18-12-2016,$0.29
11-12-2016,$0.29
04-12-2016,$0.29
27-11-2016,$0.29
20-11-2016,$0.29
13-11-2016,$0.29
06-11-2016,$0.29
30-10-2016,$0.29
23-10-2016,$0.29
16-10-2016,$0.29
09-10-2016,$0.29
02-10-2016,$0.29
25-09-2016,$0.29
18-09-2016,$0.29
11-09-2016,$0.29
04-09-2016,$0.29
28-08-2016,$0.29
21-08-2016,$0.29
14-08-2016,$0.29
07-08-2016,$0.30
31-07-2016,$0.30
24-07-2016,$0.30
17-07-2016,$0.30
10-07-2016,$0.30
03-07-2016,$0.30
26-06-2016,$0.31
19-06-2016,$0.31
12-06-2016,$0.31
05-06-2016,$0.29
29-05-2016,$0.29
22-05-2016,$0.33
15-05-2016,$0.33
08-05-2016,$0.37
01-05-2016,$0.37
24-04-2016,$0.37
17-04-2016,$0.37
03-04-2016,$0.32
27-03-2016,$0.31
20-03-2016,$0.31
13-03-2016,$0.26
06-03-2016,$0.31
28-02-2016,$0.31
21-02-2016,$0.31
14-02-2016,$0.31
07-02-2016,$0.33
31-01-2016,$0.33
24-01-2016,$0.31
17-01-2016,$0.31
10-01-2016,$0.31
03-01-2016,$0.31
27-12-2015,$0.31
20-12-2015,$0.31
13-12-2015,$0.31
06-12-2015,$0.31
29-11-2015,$0.31
22-11-2015,$0.31
15-11-2015,$0.31
08-11-2015,$0.31
01-11-2015,$0.31
25-10-2015,$0.31
18-10-2015,$0.31
11-10-2015,$0.31
04-10-2015,$0.31
27-09-2015,$0.30
20-09-2015,$0.30
13-09-2015,$0.30
06-09-2015,$0.30
30-08-2015,$0.30
23-08-2015,$0.30
