date,value
19-05-2019,$1.22
12-05-2019,$2.74
05-05-2019,$3.33
28-04-2019,$3.23
21-04-2019,$1.96
14-04-2019,$1.18
07-04-2019,$1.06
31-03-2019,$0.99
24-03-2019,$0.99
17-03-2019,$1.98
10-03-2019,$1.50
03-03-2019,$2.45
24-02-2019,$3.38
17-02-2019,$3.04
10-02-2019,$2.27
03-02-2019,$1.39
27-01-2019,$0.75
20-01-2019,$0.96
13-01-2019,$2.11
06-01-2019,$2.10
30-12-2018,$1.00
23-12-2018,$0.61
16-12-2018,$0.64
09-12-2018,$1.19
02-12-2018,$2.16
25-11-2018,$3.23
18-11-2018,$2.90
11-11-2018,$2.47
04-11-2018,$1.21
28-10-2018,$0.83
21-10-2018,$0.74
14-10-2018,$1.04
07-10-2018,$1.11
30-09-2018,$0.75
23-09-2018,$0.60
16-09-2018,$0.63
09-09-2018,$0.77
02-09-2018,$1.35
26-08-2018,$1.09
19-08-2018,$0.79
12-08-2018,$0.70
05-08-2018,$0.67
29-07-2018,$0.65
25-07-2018,$0.64
22-07-2018,$0.66
08-07-2018,$0.60
01-07-2018,$0.64
24-06-2018,$0.65
17-06-2018,$0.65
10-06-2018,$0.61
03-06-2018,$0.67
27-05-2018,$0.94
20-05-2018,$1.05
13-05-2018,$1.41
06-05-2018,$2.25
29-04-2018,$1.40
22-04-2018,$0.67
15-04-2018,$0.83
08-04-2018,$0.77
01-04-2018,$0.74
25-03-2018,$1.39
18-03-2018,$1.54
11-03-2018,$1.39
25-02-2018,$2.32
18-02-2018,$1.35
11-02-2018,$0.61
04-02-2018,$0.65
28-01-2018,$0.74
21-01-2018,$0.60
14-01-2018,$0.62
07-01-2018,$1.04
31-12-2017,$2.05
24-12-2017,$2.45
17-12-2017,$2.64
10-12-2017,$2.18
03-12-2017,$1.06
26-11-2017,$0.57
19-11-2017,$0.64
12-11-2017,$0.83
05-11-2017,$2.53
29-10-2017,$2.42
22-10-2017,$1.76
15-10-2017,$1.23
08-10-2017,$1.02
01-10-2017,$1.27
24-09-2017,$1.63
10-09-2017,$0.89
10-09-2017,$0.67
03-09-2017,$0.86
27-08-2017,$0.61
20-08-2017,$0.54
13-08-2017,$0.60
06-08-2017,$0.66
30-07-2017,$0.72
23-07-2017,$0.70
16-07-2017,$0.84
09-07-2017,$0.92
02-07-2017,$0.75
25-06-2017,$0.81
18-06-2017,$1.20
11-06-2017,$1.31
04-06-2017,$0.95
28-05-2017,$0.98
21-05-2017,$1.00
14-05-2017,$1.20
07-05-2017,$1.98
30-04-2017,$1.82
23-04-2017,$1.39
16-04-2017,$2.53
09-04-2017,$3.53
02-04-2017,$3.39
26-03-2017,$2.49
19-03-2017,$3.31
12-03-2017,$2.90
05-03-2017,$1.84
26-02-2017,$1.64
19-02-2017,$1.44
12-02-2017,$1.21
05-02-2017,$1.00
29-01-2017,$0.84
22-01-2017,$0.74
15-01-2017,$0.94
08-01-2017,$1.72
01-01-2017,$1.77
25-12-2016,$1.53
18-12-2016,$1.93
11-12-2016,$1.79
04-12-2016,$1.93
27-11-2016,$1.28
20-11-2016,$1.01
13-11-2016,$1.05
06-11-2016,$0.76
30-10-2016,$0.77
23-10-2016,$0.81
16-10-2016,$0.93
09-10-2016,$0.90
02-10-2016,$0.76
25-09-2016,$0.81
18-09-2016,$0.91
11-09-2016,$0.77
04-09-2016,$0.62
28-08-2016,$0.59
21-08-2016,$0.65
14-08-2016,$0.98
07-08-2016,$0.64
31-07-2016,$0.62
24-07-2016,$0.66
10-07-2016,$0.68
03-07-2016,$0.85
26-06-2016,$0.74
19-06-2016,$0.75
12-06-2016,$0.86
05-06-2016,$1.29
29-05-2016,$1.99
22-05-2016,$1.96
