date,value
19-05-2019,$0.32
12-05-2019,$0.34
05-05-2019,$0.34
28-04-2019,$0.38
21-04-2019,$0.45
14-04-2019,$0.44
07-04-2019,$0.43
31-03-2019,$0.34
24-03-2019,$0.35
17-03-2019,$0.60
10-03-2019,$0.48
03-03-2019,$0.64
24-02-2019,$0.82
17-02-2019,$0.68
10-02-2019,$0.46
03-02-2019,$0.44
27-01-2019,$0.42
20-01-2019,$0.51
13-01-2019,$0.66
06-01-2019,$0.66
30-12-2018,$0.64
23-12-2018,$0.65
16-12-2018,$0.90
09-12-2018,$2.03
02-12-2018,$2.04
18-11-2018,$0.73
11-11-2018,$0.72
04-11-2018,$0.40
28-10-2018,$0.41
21-10-2018,$0.32
14-10-2018,$0.32
07-10-2018,$0.36
30-09-2018,$0.36
23-09-2018,$0.34
16-09-2018,$0.30
09-09-2018,$0.33
02-09-2018,$0.32
26-08-2018,$0.29
19-08-2018,$0.32
12-08-2018,$0.30
05-08-2018,$0.30
29-07-2018,$0.29
22-07-2018,$0.30
15-07-2018,$0.30
08-07-2018,$0.30
01-07-2018,$0.31
24-06-2018,$0.29
17-06-2018,$0.29
10-06-2018,$0.29
03-06-2018,$0.31
27-05-2018,$0.34
20-05-2018,$0.38
13-05-2018,$0.54
06-05-2018,$0.70
29-04-2018,$0.69
22-04-2018,$0.68
15-04-2018,$0.56
08-04-2018,$0.55
01-04-2018,$0.39
25-03-2018,$0.41
18-03-2018,$0.43
11-03-2018,$0.46
25-02-2018,$0.44
18-02-2018,$0.34
11-02-2018,$0.30
04-02-2018,$0.30
28-01-2018,$0.29
21-01-2018,$0.29
14-01-2018,$0.30
07-01-2018,$0.35
31-12-2017,$0.34
24-12-2017,$0.34
17-12-2017,$0.34
10-12-2017,$0.35
03-12-2017,$0.31
26-11-2017,$0.31
19-11-2017,$0.34
12-11-2017,$0.36
05-11-2017,$0.35
29-10-2017,$0.37
22-10-2017,$0.36
15-10-2017,$0.38
08-10-2017,$0.41
01-10-2017,$0.40
24-09-2017,$0.36
17-09-2017,$0.32
10-09-2017,$0.38
03-09-2017,$0.41
27-08-2017,$0.29
20-08-2017,$0.29
13-08-2017,$0.29
06-08-2017,$0.29
30-07-2017,$0.29
23-07-2017,$0.30
16-07-2017,$0.33
09-07-2017,$0.31
02-07-2017,$0.32
25-06-2017,$0.31
18-06-2017,$0.31
11-06-2017,$0.29
04-06-2017,$0.29
28-05-2017,$0.29
21-05-2017,$0.33
14-05-2017,$0.35
07-05-2017,$0.45
30-04-2017,$0.52
23-04-2017,$1.16
16-04-2017,$1.73
09-04-2017,$1.64
02-04-2017,$1.21
26-03-2017,$0.86
19-03-2017,$0.60
12-03-2017,$0.56
05-03-2017,$0.58
26-02-2017,$0.60
19-02-2017,$0.70
12-02-2017,$0.60
05-02-2017,$0.41
29-01-2017,$0.34
22-01-2017,$0.31
15-01-2017,$0.29
08-01-2017,$0.32
01-01-2017,$0.33
25-12-2016,$0.33
18-12-2016,$0.33
11-12-2016,$0.37
04-12-2016,$0.33
27-11-2016,$0.37
20-11-2016,$0.35
13-11-2016,$0.33
06-11-2016,$0.35
30-10-2016,$0.38
23-10-2016,$0.35
16-10-2016,$0.35
09-10-2016,$0.36
02-10-2016,$0.32
25-09-2016,$0.31
18-09-2016,$0.31
11-09-2016,$0.32
04-09-2016,$0.31
28-08-2016,$0.31
21-08-2016,$0.26
14-08-2016,$0.26
07-08-2016,$0.26
31-07-2016,$0.28
24-07-2016,$0.26
17-07-2016,$0.29
10-07-2016,$0.27
03-07-2016,$0.31
26-06-2016,$0.32
19-06-2016,$0.31
12-06-2016,$0.36
05-06-2016,$0.43
29-05-2016,$0.63
22-05-2016,$0.52
15-05-2016,$0.76
08-05-2016,$0.92
01-05-2016,$0.95
24-04-2016,$0.65
17-04-2016,$0.46
10-04-2016,$0.44
03-04-2016,$0.29
27-03-2016,$0.28
20-03-2016,$0.27
13-03-2016,$0.26
06-03-2016,$0.26
28-02-2016,$0.26
21-02-2016,$0.29
14-02-2016,$0.33
07-02-2016,$0.35
31-01-2016,$0.32
24-01-2016,$0.40
17-01-2016,$0.51
10-01-2016,$0.67
03-01-2016,$0.64
27-12-2015,$0.56
20-12-2015,$0.53
13-12-2015,$0.62
06-12-2015,$0.69
29-11-2015,$0.86
22-11-2015,$0.93
15-11-2015,$0.87
08-11-2015,$0.65
01-11-2015,$0.46
25-10-2015,$0.38
18-10-2015,$0.37
11-10-2015,$0.31
04-10-2015,$0.31
27-09-2015,$0.31
20-09-2015,$0.38
13-09-2015,$0.39
06-09-2015,$0.32
30-08-2015,$0.36
23-08-2015,$0.35
16-08-2015,$0.41
09-08-2015,$0.33
02-08-2015,$0.32
19-07-2015,$0.29
12-07-2015,$0.27
05-07-2015,$0.31
28-06-2015,$0.32
21-06-2015,$0.31
14-06-2015,$0.35
07-06-2015,$0.36
31-05-2015,$0.48
24-05-2015,$0.84
17-05-2015,$1.08
10-05-2015,$1.28
03-05-2015,$1.33
26-04-2015,$1.12
19-04-2015,$0.88
12-04-2015,$0.67
05-04-2015,$0.50
29-03-2015,$0.36
22-03-2015,$0.29
15-03-2015,$0.32
08-03-2015,$0.30
01-03-2015,$0.30
22-02-2015,$0.32
15-02-2015,$0.37
08-02-2015,$0.61
01-02-2015,$1.06
25-01-2015,$1.10
18-01-2015,$1.17
11-01-2015,$1.17
04-01-2015,$0.77
28-12-2014,$0.38
21-12-2014,$0.28
14-12-2014,$0.30
07-12-2014,$0.36
30-11-2014,$0.42
23-11-2014,$0.49
16-11-2014,$0.50
09-11-2014,$0.55
02-11-2014,$0.49
26-10-2014,$0.35
19-10-2014,$0.32
12-10-2014,$0.30
05-10-2014,$0.29
