date,value
19-05-2019,$1.16
12-05-2019,$0.91
05-05-2019,$0.58
28-04-2019,$0.58
21-04-2019,$0.69
14-04-2019,$0.90
07-04-2019,$1.08
31-03-2019,$1.81
24-03-2019,$1.81
17-03-2019,$1.88
10-03-2019,$1.88
03-03-2019,$1.88
24-02-2019,$1.75
17-02-2019,$1.63
10-02-2019,$2.25
27-01-2019,$2.63
20-01-2019,$2.63
13-01-2019,$2.50
06-01-2019,$2.63
30-12-2018,$2.50
23-12-2018,$2.88
16-12-2018,$3.06
09-12-2018,$3.25
02-12-2018,$2.88
25-11-2018,$2.69
18-11-2018,$2.08
11-11-2018,$2.17
04-11-2018,$1.06
28-10-2018,$1.10
21-10-2018,$1.19
14-10-2018,$1.31
07-10-2018,$1.63
30-09-2018,$0.92
26-09-2018,$1.34
23-09-2018,$1.06
09-09-2018,$1.47
02-09-2018,$1.31
26-08-2018,$1.22
19-08-2018,$1.03
12-08-2018,$0.69
05-08-2018,$0.69
29-07-2018,$0.69
22-07-2018,$0.84
15-07-2018,$1.22
08-07-2018,$1.16
01-07-2018,$1.00
24-06-2018,$1.06
17-06-2018,$0.81
10-06-2018,$0.84
07-06-2018,$0.94
03-06-2018,$0.81
20-05-2018,$0.66
13-05-2018,$0.59
06-05-2018,$0.63
29-04-2018,$1.04
22-04-2018,$1.23
15-04-2018,$1.33
08-04-2018,$1.38
01-04-2018,$1.75
25-03-2018,$2.00
18-03-2018,$1.88
11-03-2018,$1.44
25-02-2018,$1.50
18-02-2018,$1.63
11-02-2018,$1.75
04-02-2018,$1.81
28-01-2018,$1.75
21-01-2018,$2.00
14-01-2018,$2.00
07-01-2018,$2.06
31-12-2017,$2.00
24-12-2017,$1.81
17-12-2017,$1.88
10-12-2017,$1.69
03-12-2017,$1.75
26-11-2017,$1.63
19-11-2017,$2.33
12-11-2017,$2.92
05-11-2017,$1.83
29-10-2017,$1.46
22-10-2017,$1.10
15-10-2017,$1.13
08-10-2017,$1.02
01-10-2017,$1.13
24-09-2017,$1.29
17-09-2017,$1.29
10-09-2017,$1.38
03-09-2017,$1.28
27-08-2017,$1.22
20-08-2017,$1.16
13-08-2017,$0.97
06-08-2017,$0.91
30-07-2017,$0.84
23-07-2017,$0.72
16-07-2017,$0.72
09-07-2017,$0.78
02-07-2017,$1.09
25-06-2017,$1.16
18-06-2017,$1.22
11-06-2017,$1.09
04-06-2017,$1.22
28-05-2017,$1.00
21-05-2017,$1.09
14-05-2017,$0.94
07-05-2017,$0.96
30-04-2017,$0.83
23-04-2017,$0.94
16-04-2017,$1.00
09-04-2017,$1.15
02-04-2017,$1.69
26-03-2017,$1.69
19-03-2017,$1.59
12-03-2017,$1.75
05-03-2017,$1.88
19-02-2017,$1.75
12-02-2017,$1.88
05-02-2017,$2.13
29-01-2017,$2.13
22-01-2017,$2.13
15-01-2017,$2.00
08-01-2017,$1.75
01-01-2017,$1.75
25-12-2016,$1.75
18-12-2016,$1.69
11-12-2016,$2.19
04-12-2016,$1.69
27-11-2016,$2.63
20-11-2016,$2.50
13-11-2016,$2.63
06-11-2016,$3.00
30-10-2016,$3.00
23-10-2016,$0.40
16-10-2016,$1.15
09-10-2016,$1.00
02-10-2016,$1.19
25-09-2016,$1.00
18-09-2016,$0.88
11-09-2016,$0.88
04-09-2016,$0.88
28-08-2016,$1.00
21-08-2016,$1.31
14-08-2016,$1.44
07-08-2016,$1.31
31-07-2016,$1.13
24-07-2016,$1.16
17-07-2016,$1.13
10-07-2016,$1.00
03-07-2016,$0.97
26-06-2016,$0.97
19-06-2016,$1.19
12-06-2016,$1.09
05-06-2016,$1.16
29-05-2016,$1.19
22-05-2016,$1.13
15-05-2016,$1.04
08-05-2016,$1.00
01-05-2016,$1.42
24-04-2016,$1.69
17-04-2016,$1.65
10-04-2016,$1.42
03-04-2016,$1.33
27-03-2016,$1.25
20-03-2016,$1.25
13-03-2016,$1.38
06-03-2016,$1.09
28-02-2016,$1.00
21-02-2016,$1.75
14-02-2016,$2.00
07-02-2016,$2.75
31-01-2016,$3.00
24-01-2016,$2.88
17-01-2016,$2.75
10-01-2016,$2.63
03-01-2016,$2.63
27-12-2015,$2.63
20-12-2015,$2.63
13-12-2015,$2.06
06-12-2015,$2.06
29-11-2015,$3.38
22-11-2015,$3.75
15-11-2015,$3.75
08-11-2015,$3.00
01-11-2015,$2.56
25-10-2015,$2.17
18-10-2015,$1.88
11-10-2015,$1.79
04-10-2015,$1.67
27-09-2015,$1.42
20-09-2015,$1.13
13-09-2015,$1.25
06-09-2015,$1.31
30-08-2015,$1.31
23-08-2015,$1.56
16-08-2015,$1.88
09-08-2015,$1.81
02-08-2015,$1.38
19-07-2015,$1.06
12-07-2015,$1.00
05-07-2015,$1.00
28-06-2015,$1.00
21-06-2015,$1.09
14-06-2015,$1.06
07-06-2015,$1.13
31-05-2015,$1.03
24-05-2015,$0.91
17-05-2015,$0.92
10-05-2015,$1.50
03-05-2015,$1.50
26-04-2015,$1.58
19-04-2015,$1.48
12-04-2015,$1.21
05-04-2015,$1.19
29-03-2015,$1.13
22-03-2015,$0.96
15-03-2015,$0.81
08-03-2015,$1.00
01-03-2015,$1.06
22-02-2015,$1.13
15-02-2015,$1.13
08-02-2015,$1.75
01-02-2015,$1.88
25-01-2015,$1.75
18-01-2015,$1.75
11-01-2015,$1.75
04-01-2015,$1.38
28-12-2014,$1.38
21-12-2014,$3.13
14-12-2014,$3.50
07-12-2014,$3.31
30-11-2014,$3.25
23-11-2014,$3.13
16-11-2014,$3.00
09-11-2014,$2.63
02-11-2014,$2.00
26-10-2014,$1.50
19-10-2014,$1.66
12-10-2014,$1.63
05-10-2014,$1.88
28-09-2014,$1.71
21-09-2014,$1.94
17-09-2014,$2.28
